address,latitude,longitude,sold,price,area,cbd,station,school
"22 COOLGA ROAD,Koongamia,6056",-31.90847,116.04216,2010/4/1,289000,88,18000,4300,2.343755401
"13 Hurstford Close,Peppermint Grove,6011",-31.99663597,115.7645015,2010/4/1,1000000,93,10100,500,0.340723673
"3 Beckworth Avenue,Kiara,6054",-31.88337,115.93932,2010/4/1,426000,139,10800,2400,0.76977182
"590 Hopeland Road,Hopeland,6125",-32.40168,115.90589,2010/4/1,1900000,340,50200,15400,10.46325335
"18 Lowan Loop,Karawara,6152",-32.00656,115.88457,2010/4/1,775000,200,6500,2700,1.226002938
"2 Barlow Street,Sawyers Valley,6074",-31.90208,116.20124,2010/4/1,479000,282,32800,19000,2.015762289
"6 Glick Road,Coolbinia,6050",-31.91502,115.86037,2010/4/1,1100000,211,4200,4000,1.122554899
"6 Strathclyde Circuit,Champion Lakes,6111",-32.11622886,115.9909268,2010/4/1,185000,146,22100,2100,1.983843175
"274 Boulonnais Drive,Brigadoon,6069",-31.79223,116.07758,2010/4/1,900000,268,27300,13200,8.713021202
"100 Marshwood Place,Sawyers Valley,6074",-31.89326,116.21331,2010/4/1,695000,132,34100,20100,2.239314158
"32B Prescott Drive,Murdoch,6150",-32.06315956,115.8274037,2010/4/1,560000,125,12700,2200,1.153691052
"9 Nantellis Road,Martin,6110",-32.06316,116.00383,2010/4/1,340000,115,18400,991,0.902668883
"3 Hilltop Close,Mahogany Creek,6072",-31.90108,116.14248,2010/4/1,475000,158,27400,13400,3.578340372
"97 Hardinge Road,Orange Grove,6109",-32.02822233,116.0307374,2010/5/1,550000,158,18300,5100,2.515181447
"32 Avon Crescent,Viveash,6056",-31.87921,115.99913,2010/5/1,805000,237,15500,1400,0.503861779
"27 Bullich Retreat,Jarrahdale,6124",-32.341201,116.056191,2010/5/1,727000,276,47100,21300,10.02815171
"41 Nicolas Drive,Casuarina,6167",-32.25089,115.85686,2010/5/1,930000,169,33200,2200,1.718100169
"7 Bracken Road,Pickering Brook,6076",-32.03163,116.13772,2010/5/1,790000,259,27800,14800,4.528069196
"9A Freedman Road,Menora,6050",-31.91685,115.86371,2010/5/1,840000,215,4000,2600,0.749434835
"14 Bernborough Way,Darling Downs,6122",-32.18348,115.98769,2010/5/1,850000,225,28500,4100,2.880892128
"126 Jersey Street,Jolimont,6014",-31.94331585,115.8119219,2010/5/1,1275000,250,4500,979,2.00720231
"39 Hartwell Street,Coolbinia,6050",-31.91307,115.85452,2010/5/1,950000,312,4400,3000,1.69991742
"132 Jersey Street,Jolimont,6014",-31.94304666,115.8119226,2010/5/1,815000,291,4600,1000,2.034453923
"83 Unnaro Street,Hillman,6168",-32.28175,115.76773,2010/5/1,385000,170,37700,1100,1.308709316
"3 Koomyle Mews,Viveash,6056",-31.87665,115.99721,2010/5/1,478000,190,15500,1700,0.712895449
"5A Kenmure Avenue,Ashfield,6054",-31.92128,115.93811,2010/5/1,515000,150,8200,963,1.017768229
"23 Masefield Avenue,North Lake,6163",-32.08236482,115.8211859,2010/5/1,626000,203,14900,3300,1.142339899
"82 Johanson Promenade,Murdoch,6150",-32.06087,115.83551,2010/5/1,735000,180,12300,1500,0.819575832
"9 Wattle Court,Mahogany Creek,6072",-31.90283,116.14006,2010/5/1,675000,262,27100,13200,3.824738921
"18 BEENAN CLOSE,Karawara,6152",-32.00707,115.87639,2010/5/1,597000,121,6300,1900,0.622339992
"9 Mons Street,Ashfield,6054",-31.91603,115.93973,2010/5/1,450000,127,8600,501,0.432579133
"33 Mullewa Crescent,Coolbinia,6050",-31.9131,115.85046,2010/5/1,1330000,343,4400,2600,1.699351647
"43 Kardan Circuit,Karawara,6152",-32.00785,115.88176,2010/5/1,880000,229,6600,2400,1.103321193
"30 Ashby Terrace,Viveash,6056",-31.87814,115.9997,2010/5/1,499000,157,15700,1500,0.447529555
"15 Coomel Close,Hillman,6168",-32.28123,115.76584,2010/5/1,327000,131,37700,1100,1.124695204
"4 Strathclyde Circuit,Champion Lakes,6111",-32.11612984,115.9909199,2010/5/1,185000,167,22100,2100,1.987732662
"62 Dorney Esplanade,Champion Lakes,6111",-32.11504225,115.9908479,2010/5/1,760000,200,22000,2100,1.969214436
"18 Kunzea Rise,Jarrahdale,6124",-32.34753079,116.0560246,2010/5/1,260000,218,47800,22000,10.58638909
"25 Karbro Drive,Cardup,6122",-32.25832632,115.994085,2010/5/1,887500,261,36400,11800,1.287769663
"14 Cumbor Way,Samson,6163",-32.0706,115.79441,2010/5/1,610000,220,14500,5300,0.252808791
"49 Jacqueline Street,Ashfield,6054",-31.92027707,115.9363875,2010/6/1,285000,143,8100,832,1.000373844
"51 Mary Street,Watermans Bay,6020",-31.84808,115.758335,2010/6/1,1310000,229,15000,3600,1.742711613
"27 Norvills Retreat,Kiara,6054",-31.8832,115.93642,2010/6/1,425000,159,10600,3300,0.651665592
"1200 Coulston Road,Boya,6056",-31.91553793,116.0534039,2010/6/1,475000,132,18800,5600,2.028437031
"95 The Fairways,Gnangara,6077",-31.78144,115.85147,2010/6/1,1990000,419,19000,7000,3.186595084
"4 Anthea Street,Hazelmere,6055",-31.9044,115.99099,2010/6/1,720000,219,13500,1500,1.437719609
"17 Ferrar Street,Menora,6050",-31.9222435,115.8646263,2010/6/1,1560000,231,3400,2100,0.496808657
"33 Roseheath Boulevard,Kiara,6054",-31.88081,115.93867,2010/6/1,475000,195,11000,2700,0.503415335
"29 Darile Street,Hillman,6168",-32.28194,115.76947,2010/6/1,60000,100,37700,1200,1.473654325
"9/61 Troy Terrace,Jolimont,6014",-31.94814,115.81423,2010/6/1,710000,86,4200,448,1.665818198
"20 Hartwell Street,Coolbinia,6050",-31.9115,115.85422,2010/6/1,1005000,222,4600,3000,1.565303453
"16 Bradbury Way,Samson,6163",-32.06718,115.80041,2010/6/1,670000,319,13900,4700,0.903641787
"43 Gratwick Terrace,Murdoch,6150",-32.06231,115.83027,2010/6/1,730000,208,12500,2000,1.230047268
"12 Mills Road,Martin,6110",-32.06474,116.00141,2010/6/1,355000,140,18400,757,1.041564178
"36 Bernley Drive,Viveash,6056",-31.87557,115.99599,2010/6/1,575000,178,15500,1800,0.862552216
"19 Harford Avenue,Viveash,6056",-31.87333,115.99774,2010/6/1,405000,107,15800,2100,0.858325943
"29 Addlewell Glen,Kiara,6054",-31.88191,115.93589,2010/6/1,420000,113,10700,3400,0.501720482
"60 Orton Road,Casuarina,6167",-32.23911,115.85432,2010/6/1,1200000,160,31900,1200,2.224724683
"351 Walcott Street,Coolbinia,6050",-31.91797,115.85246,2010/6/1,636200,114,3800,2800,1.339216494
"24A Frawley Gardens,Murdoch,6150",-32.05985,115.82969,2010/6/1,630000,171,12300,2100,1.285614945
"40 Northmore Street,Daglish,6008",-31.94955,115.80555,2010/6/1,1375000,258,5000,1100,1.154175599
"545 Needham Road,Wooroloo,6558",-31.80706137,116.3073287,2010/6/1,174000,270,45400,30500,11.10576378
"795 Coulston Road,Boya,6056",-31.91162599,116.0518375,2010/7/1,660000,256,18800,5300,2.311182667
"605 Lion Street,Sawyers Valley,6074",-31.88801913,116.2253083,2010/7/1,820000,197,35400,21200,1.638781616
"107 Newbold Road,Casuarina,6167",-32.2288,115.8835,2010/7/1,815000,270,30900,3900,5.057372855
"56B Marshall Way,Samson,6163",-32.06563,115.79499,2010/7/1,425000,123,14000,5200,0.800555628
"71 Scovell Crescent,Anketell,6167",-32.21494,115.87787,2010/7/1,1037500,280,29300,4000,5.708589168
"9 Ivythorne Grove,Kiara,6054",-31.88239,115.93503,2010/7/1,485000,142,10600,3400,0.549568346
"12 Millstream Drive,Sawyers Valley,6074",-31.90131,116.21325,2010/7/1,665000,191,34000,20100,3.109062155
"1140 Bailup Road,Wooroloo,6558",-31.79472,116.3114,2010/7/1,569000,122,46200,31300,12.33509955
"25b Kearsley Rise,Murdoch,6150",-32.0598,115.83773,2010/7/1,570000,137,12100,1400,0.57905556
"161 Pomeroy Road,Walliston,6076",-32.0086,116.06787,2010/7/1,800000,136,20700,9200,1.591397627
"32 Northmore Street,Daglish,6008",-31.9506,115.80563,2010/7/1,1200000,196,5000,989,1.041985235
"8 Windoo Place,Koongamia,6056",-31.904,116.04371,2010/7/1,300000,89,18300,4300,1.838494532
"8/26 Gillon Street,Karawara,6152",-32.00853817,115.8797224,2010/7/1,445000,83,6600,2200,0.973083422
"51 King Jarrah Circle,Jarrahdale,6124",-32.34581123,116.0531369,2010/7/1,520000,186,47500,21700,10.27445956
"35 Elvire Street,Watermans Bay,6020",-31.85183721,115.7558911,2010/7/1,1200000,322,14800,3900,1.889930862
"27 Marradong Street,Coolbinia,6050",-31.91241,115.85117,2010/7/1,1250000,225,4500,2700,1.796928054
"14 Ford Street,Woodbridge,6056",-31.88987,115.99336,2010/8/1,630000,121,14500,210,0.442433493
"11 Scrivner Road,Herne Hill,6056",-31.84036,116.04606,2010/8/1,825000,217,21600,7100,3.806761125
"11 Peterborough Circle,North Lake,6163",-32.08261,115.84797,2010/8/1,680000,233,14600,1800,1.193398864
"56 Peterborough Circle,North Lake,6163",-32.08427,115.84381,2010/8/1,780000,240,14800,2100,1.602393391
"39 Harper Street,Woodbridge,6056",-31.88732,115.99652,2010/8/1,524000,115,14900,613,0.750476098
"51 Hardy Road,Ashfield,6054",-31.91873125,115.9406456,2010/8/1,1080000,300,8600,860,0.669922872
"8 Jingella Mews,Viveash,6056",-31.8774,115.99825,2010/8/1,490000,188,15600,1600,0.596297473
"4 Sing Gardens,Walliston,6076",-32.00876,116.07185,2010/8/1,1730000,288,21100,9500,1.951224581
"47 Beckworth Avenue,Kiara,6054",-31.88166,115.94241,2010/8/1,451000,136,11100,2500,0.834307281
"13 Stubbs Terrace,Daglish,6008",-31.94834327,115.8174876,2010/8/1,1060000,103,3900,585,1.821462397
"30 Colstoun Road,Ashfield,6054",-31.91658,115.93973,2010/8/1,577500,192,8600,547,0.48304498
"16 Marradong Street,Coolbinia,6050",-31.91296,115.85195,2010/8/1,1320000,221,4400,2700,1.774786057
"33 Jersey Street,Jolimont,6014",-31.94637,115.81129,2010/8/1,830000,113,4500,655,1.676090732
"13 Mardella Street,Coolbinia,6050",-31.91601,115.8557,2010/8/1,1100000,375,4000,3100,1.447603578
"45 Jinda Road,Koongamia,6056",-31.90621,116.04507,2010/8/1,310000,92,18300,4500,2.084527498
"10 Killaloe Place,Waterford,6152",-32.01312,115.88735,2010/8/1,925000,293,7300,3000,0.600097409
"24 Saunders Way,Karragullen,6111",-32.08496,116.11658,2010/8/1,330000,113,28500,9900,8.095514142
"100 Waterford Avenue,Waterford,6152",-32.01414,115.88814,2010/8/1,1225800,311,7400,3100,0.485436438
"15 Staniland Street,Orange Grove,6109",-32.04624,116.01576,2010/8/1,1200000,276,18100,3100,2.377202425
"485 Avonholme Circle,Chidlow,6556",-31.84557277,116.2601628,2010/8/1,399000,198,39700,25000,4.930334328
"63 Lefroy Avenue,Herne Hill,6056",-31.83974124,116.025243,2010/9/1,840000,133,20100,6200,2.426680902
"87 Railway Parade,Upper Swan,6069",-31.77094,116.02489,2010/9/1,580000,201,25600,13600,4.547778636
"78 Paterson Street,Mundijong,6123",-32.28953,115.98782,2010/9/1,250000,58,39500,15300,2.234142446
